,title,publishedDate,views,likes,comment,favorite,Month
0,Rromeo Performs at ICHR -  HR College Mumbai #Shorts,2022-03-19,13206,1729,251,0,Mar
1,Deewana Song Promo - Rromeo Official Video Song Out Now #Shorts,2022-02-13,686482,3754,119,0,Feb
2,Deewana Song - Rromeo Live Video - Reel Challenge #Shorts #DeewanaReel #deewana #rromeo,2022-02-12,795632,3930,125,0,Feb
3,Deewana Song - Tera Fitoor Part Two - Rromeo Official Video,2022-02-12,27002481,439581,5907,0,Feb
4,Deewana Song Teaser I Rromeo I Song Out On 12th Feb.,2022-02-10,3879289,175931,2378,0,Feb
5,Tera Fitoor Song I Unplugged Video I Rromeo Official,2022-02-06,5181900,148892,1917,0,Feb
6,Rromeo I Tera Fitoor Song - Behind The Scenes Making and Interview,2022-02-02,1349335,55482,2288,0,Feb
7,Tera Fitoor Song #Rromeo - Behind The Scenes - Promo,2022-01-24,711258,64292,6362,0,Jan
8,#TeraFitoor #Rromeo I Ek Tarfa Pyar Ki Taqat Hi Kuch Aur Hoti Hai I Rromeo I #shorts,2022-01-13,1402223,29051,795,0,Jan
9,Tera Fitoor REMIX - RROMEO | New Hindi Song,2021-12-30,6431844,86377,3242,0,Dec
10,Tera Fitoor - Rromeo (Official Video) | New Hindi Song,2021-12-15,48404465,591067,13434,0,Dec
11,RROMEO naam Mera | Introduction of Rromeo - Tera Fitoor Out Soon,2021-12-13,1904222,16494,3267,0,Dec
12,VOICE OF RROMEO | Tera Fitoor out soon,2021-12-10,613335,4516,202,0,Dec
13,Who is RROMEO | Tera Fitoor OUT SOON,2021-12-09,59261,915,17,0,Dec
